id,name
450,Купава
451,Лавиния
452,Лавра
453,Лада
454,Лайма
455,Лариса
456,Латафат
457,Лаура
458,Лебния
459,Леда
460,Лейла
461,Лемира
462,Ленина
463,Леокадия
464,Леонида
465,Леонила
466,Леонина
467,Леонтина
468,Леся
469,Летиция
470,Лея
471,Лиана
472,Ливия
473,Лидия
474,Лилиана
475,Лилия
476,Лина
477,Линда
478,Лира
479,Лия
480,Лола
481,Лолита
482,Лонгина
483,Лора
484,Лота
485,Луиза
486,Лукерья
487,Лукиана
488,Лукия
489,Лукреция
490,Любава
491,Любовь
492,Любомила
493,Любомира
494,Людмила
495,Люсьена
496,Люцина
497,Люция
498,Мавра
499,Магда
500,Магдалена
501,Магдалина
502,Магна
503,Мадина
504,Мадлена
505,Маина
506,Майда
507,Майя
508,Макрина
509,Максима
510,Малания
511,Малика
512,Малина
513,Малинья
514,Мальвина
515,Мамелфа
516,Манана
517,Манефа
518,Мануэла
519,Маргарита
520,Мариам
521,Мариамна
522,Мариана
523,Марианна
524,Мариетта
525,Марина
526,Маринэ
527,Марионелла
528,Марионилла
529,Марица
530,Мариэтта
531,Мария
532,Марка
533,Маркеллина
534,Маркиана
535,Марксина
536,Марлена
537,Марселина
538,Марта
539,Мартина
540,Мартиниана
541,Марфа
542,Марьина
543,Марья
544,Марьям
545,Марьяна
546,Мастридия
547,Матильда
548,Матрёна
549,Матрона
550,Мая
551,Медея
552,Мелания
553,Меланья
554,Мелитика
555,Меркурия
556,Мерона
557,Милана
558,Милена
559,Милица
560,Милия
561,Милослава
562,Милютина
563,Мина
564,Минна
565,Минодора
566,Мира
567,Мирдза
568,Миропия
569,Мирослава
570,Мирра
571,Митродора
572,Михайлина
573,Михалина
574,Млада
575,Модеста
576,Моика
577,Моника
578,Мстислава
579,Муза
580,Мэрилант
581,Нада
582,Надежда
583,Назира
584,Наиля
585,Наина
586,Нана
587,Наркисса
588,Настасия
589,Настасья
590,Наталия
591,Наталья
592,Нателла
593,Нелли
594,Ненила
595,Неонила
596,Нида
597,Ника
598,Нила
599,Нимфа
600,Нимфодора
601,Нина
602,Нинель
603,Новелла
604,Нонна
605,Нора
606,Норгул
607,Ноэми
608,Ноябрина
609,Нунехия
610,Одетта
611,Оксана
612,Октавия
613,Октябрина
614,Олдама
615,Олеся
616,Оливия
617,Олимпиада
618,Олимпиодора
619,Олимпия
620,Ольвия
621,Ольга
622,Ольда
623,Офелия
624,Павла
625,Павлина
626,Паисия
627,Паллада
628,Паллидия
629,Пальмира
630,Памела
631,Параскева
632,Патрикия
633,Патриция
634,Паула
635,Паулина
636,Пелагея
637,Перегрина
638,Перпетуя
639,Петра
640,Петрина
641,Петронилла
642,Петрония
643,Пиама
644,Пинна
645,Плакида
646,Плакилла
647,Платонида
648,Победа
649,Полактия
650,Поликсена
651,Поликсения
652,Полина
653,Поплия
654,Правдина
655,Прасковья
656,Препедигна
657,Прискилла
658,Просдока
659,Пульхерия
660,Пульхерья
661,Рада
662,Радана
663,Радислава
664,Радмила
665,Радомира
666,Радосвета
667,Радослава
668,Радость
669,Раиса
670,Рафаила
671,Рахиль
672,Рашам
673,Ревекка
674,Ревмира
675,Регина
676,Резета
677,Рема
678,Рената
679,Римма
680,Рипсимия
681,Роберта
682,Рогнеда
683,Роза
684,Розалина
685,Розалинда
686,Розалия
687,Розамунда
688,Розина
689,Розмари
690,Роксана
691,Романа
692,Ростислава
693,Ружена
694,Рузана
695,Румия
696,Русана
697,Русина
698,Руслана
699,Руфина
700,Руфиниана
701,Руфь
702,Сабина
703,Савватия
704,Савелла
705,Савина
706,Саида
707,Саломея
708,Салтанат
709,Самона
710,Сания
711,Санта
712,Сарра
713,Сатира
714,Светислава
715,Светлана
716,Светозара
717,Святослава
718,Севастьяна
719,Северина
720,Секлетея
721,Секлетинья
722,Селена
723,Селестина
724,Селина
725,Серафима
726,Сибилла
727,Сильва
728,Сильвана
729,Сильвестра
730,Сильвия
731,Сима
732,Симона
733,Синклитикия
734,Сиотвия
735,Сира
736,Слава
737,Снандулия
738,Снежана
739,Созия
740,Сола
741,Соломонида
742,Сосипатра
743,София
744,Софрония
745,Софья
746,Сталина
747,Станислава
748,Стелла
749,Степанида
750,Стефанида
751,Стефания
752,Сусанна
753,Суфия
754,Сюзанна
755,Тавифа
756,Таира
757,Таисия
758,Таисья
759,Тала
760,Тамара
761,Тарасия
762,Татьяна
763,Тахмина
764,Текуса
765,Теодора
766,Тереза
767,Тигрия
768,Тина
769,Тихомира
770,Тихослава
771,Тома
772,Томила
773,Транквиллина
774,Трифена
775,Трофима
776,Улдуза
777,Улита
778,Ульяна
779,Урбана
780,Урсула
781,Устина
782,Устиния
783,Устинья
784,Фабиана
785,Фавста
786,Фавстина
787,Фаиза
788,Фаина
789,Фанни
790,Фантика
791,Фаня
792,Фарида
793,Фатима
794,Фая
795,Фебния
796,Феврония
797,Февронья
798,Федоза
