id,name
439,Микеланджело
440,Микулаш
441,Милорад
442,Мина
443,Мирко
444,Мирон
445,Мирослав
446,Митрофан
447,Михаил
448,Михей
449,Младан
450,Модест
451,Моисей
452,Мордехай
453,Мстислав
454,Мурад
455,Мухаммед
456,Мэдисон
457,Мэлор
458,Мэлс
459,Назар
460,Наиль
461,Насиф
462,Натан
463,Натаниэль
464,Наум
465,Нафанаил
466,Нацагдорж
467,Нестор
468,Никандр
469,Никанор
470,Никита
471,Никифор
472,Никодим
473,Николай
474,Нил
475,Нильс
476,Ноа
477,Ной
478,Норд
479,Нуржан
480,Нурлан
481,Овадья
482,Оге
483,Одинец
484,Октав
485,Октавиан
486,Октавий
487,Октавио
488,Олаф
489,Оле
490,Олег
491,Оливер
492,Ольгерд
493,Онисим
494,Орест
495,Осип
496,Оскар
497,Осман
498,Отто
499,Оттон
500,Очирбат
501,Пабло
502,Павел
503,Павлин
504,Павсикакий
505,Паисий
506,Палладий
507,Панкратий
508,Пантелеймон
509,Папа
510,Паруйр
511,Парфений
512,Патрик
513,Пафнутий
514,Пахомий
515,Педро
516,Пётр
517,Пимен
518,Пинхас
519,Пипин
520,Питирим
521,Пол
522,Полидор
523,Полиевкт
524,Поликарп
525,Поликрат
526,Порфирий
527,Потап
528,Предраг
529,Премысл
530,Приск
531,Прокл
532,Прокопий
533,Прокул
534,Протасий
535,Прохор
536,Публий
537,Рагнар
538,Рагуил
539,Радмир
540,Радослав
541,Разумник
542,Раймонд
543,Рамадан
544,Рамазан
545,Рахман
546,Рашад
547,Рейнхард
548,Ренат
549,Реститут
550,Ричард
551,Роберт
552,Родерик
553,Родион
554,Рожер
555,Розарио
556,Роман
557,Ромен
558,Рон
559,Ронан
560,Ростислав
561,Рудольф
562,Руслан
563,Руф
564,Руфин
565,Рушан
566,Сабит
567,Савва
568,Савватий
569,Савелий
570,Савин
571,Саддам
572,Садик
573,Саид
574,Салават
575,Салих
576,Саллюстий
577,Салман
578,Самуил
579,Сармат
580,Святослав
581,Севастьян
582,Северин
583,Секст
584,Секунд
585,Семён
586,Септимий
587,Серапион
588,Сергей
589,Серж
590,Сигеберт
591,Сильвестр
592,Симеон
593,Симон
594,Созон
595,Соломон
596,Сонам
597,Софрон
598,Спиридон
599,Срджан
600,Станислав
601,Степан
602,Стефано
603,Стивен
604,Таврион
605,Тавус
606,Тадеуш
607,Тарас
608,Тарасий
609,Тейс
610,Тендзин
611,Теофил
612,Терентий
613,Терри
614,Тиберий
615,Тигран
616,Тимофей
617,Тимур
618,Тихомир
619,Тихон
620,Томас
621,Томоми
622,Торос
623,Тофик
624,Трифон
625,Трофим
626,Тудхалия
627,Тутмос
628,Тьерри
629,Тьяго
630,Уве
631,Уильям
632,Улдис
633,Ульрих
634,Ульф
635,Умар
636,Урызмаг
637,Усама
638,Усман
639,Фавст
640,Фаддей
641,Файзулла
642,Фарид
643,Фахраддин
644,Федериго
645,Федосей
646,Федот
647,Фейсал
648,Феликс
649,Феоктист
650,Феофан
651,Феофил
652,Феофилакт
653,Фердинанд
654,Ференц
655,Фёдор
656,Фидель
657,Филарет
658,Филат
659,Филип
660,Филипп
661,Философ
662,Филострат
663,Фирс
664,Фока
665,Фома
666,Фотий
667,Франц
668,Франческо
669,Фредерик
670,Фридрих
671,Фродо
672,Фрол
673,Фульк
674,Хайме
675,Ханс
676,Харальд
677,Харитон
678,Харри
679,Харрисон
680,Хасан
681,Хетаг
682,Хильдерик
683,Хирам
684,Хлодвиг
685,Хокон
686,Хорив
687,Хоселито
688,Хосрой
689,Хрисанф
690,Христофор
691,Хуан
692,Цэрэндорж
693,Чеслав
694,Шалом
695,Шамиль
696,Шамсуддин
697,Шапур
698,Шарль
699,Шейх-Хайдар
700,Шон
701,Эберхард
702,Эдмунд
703,Эдна
704,Эдуард
705,Элбэгдорж
706,Элджернон
707,Элиас
708,Эллиот
709,Эмиль
710,Энрик
711,Энрико
712,Энтони
713,Эразм
714,Эраст
715,Эрик
716,Эрнст
717,Эсекьель
718,Эстебан
719,Этьен
720,Ювеналий
721,Юлиан
722,Юлий
723,Юлиус
724,Юрий
725,Юстас
726,Юстин
727,Яков
728,Якуб
729,Якун
730,Ян
731,Яни
732,Януарий
733,Яромир
734,Ярополк
735,Ярослав
